word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
STAIN,N,Y,5,6,1,535,old,manmade,informed,informed1,cyan,white,1
CHERRY,N,Y,6,6,2,611,old,manmade,informed,informed1,cyan,white,1
ROOT,N,Y,4,30,1,558,old,manmade,informed,informed1,cyan,white,1
VINE,N,Y,4,4,1,601,old,manmade,informed,informed1,cyan,white,1
FLOWER,N,Y,6,23,1,584,old,manmade,informed,informed1,cyan,white,1
TIMBER,N,N,6,19,2,578,old,manmade,informed,informed1,cyan,white,1
NEST,N,Y,4,20,1,557,old,manmade,informed,informed1,cyan,white,1
WHISTLE,Y,Y,7,4,2,579,old,manmade,informed,informed1,cyan,white,1
POND,N,N,4,25,1,623,old,manmade,informed,informed1,cyan,white,1
RAMP,Y,N,4,6,1,538,old,manmade,informed,informed1,cyan,white,1
TOOTH,N,Y,5,20,1,619,old,manmade,informed,informed1,cyan,white,1
GINGER,N,Y,6,2,2,522,old,manmade,informed,informed1,cyan,white,1
TUBE,Y,Y,4,31,1,581,old,manmade,informed,informed1,cyan,white,1
FLEA,N,Y,4,2,1,625,old,manmade,informed,informed1,cyan,white,1
LIMB,N,N,4,5,1,590,old,manmade,informed,informed1,cyan,white,1
FOREARM,N,Y,7,3,2,608,old,manmade,informed,informed1,cyan,white,1
OUTFIT,Y,Y,6,16,2,515,old,manmade,informed,informed1,cyan,white,1
OTTER,N,N,5,5,2,631,old,manmade,informed,informed1,cyan,white,1
IVORY,N,Y,5,17,3,571,old,manmade,informed,informed1,cyan,white,1
ENVELOPE,Y,Y,8,21,3,579,old,manmade,informed,informed1,cyan,white,1
CARD,Y,Y,4,26,1,565,old,manmade,informed,informed1,cyan,white,1
STOOL,Y,N,5,8,1,592,old,manmade,informed,informed1,cyan,white,1
KNUCKLE,Y,Y,7,3,2,586,old,manmade,informed,informed1,cyan,white,1
PEPPER,N,Y,6,13,2,591,old,manmade,informed,informed1,cyan,white,1
CLOUD,N,N,5,28,1,554,old,manmade,informed,informed1,cyan,white,1
BROOM,Y,N,5,2,1,613,old,manmade,informed,informed1,cyan,white,1
AXLE,Y,N,4,5,2,555,old,manmade,informed,informed1,cyan,white,1
MOSS,N,Y,4,9,1,575,old,manmade,informed,informed1,cyan,white,1
ANKLE,N,Y,5,8,2,608,old,manmade,informed,informed1,cyan,white,1
ONION,N,Y,5,15,2,632,old,manmade,informed,informed1,cyan,white,1
BATH,Y,N,4,26,1,600,old,manmade,informed,informed1,cyan,white,1
VEIL,Y,Y,4,8,1,560,old,manmade,informed,informed1,cyan,white,1
CABIN,Y,N,5,23,2,596,old,shoebox,informed,informed1,red,white,1
LANE,Y,N,4,30,1,537,old,shoebox,informed,informed1,red,white,1
HEEL,N,Y,4,9,1,579,old,shoebox,informed,informed1,red,white,1
SHEEP,N,N,5,23,1,622,old,shoebox,informed,informed1,red,white,1
CORRIDOR,Y,N,8,17,3,568,old,shoebox,informed,informed1,red,white,1
TRUMPET,Y,N,7,7,2,608,old,shoebox,informed,informed1,red,white,1
GOAT,N,N,4,6,1,636,old,shoebox,informed,informed1,red,white,1
MENU,Y,Y,4,5,2,555,old,shoebox,informed,informed1,red,white,1
TANK,Y,N,4,12,1,581,old,shoebox,informed,informed1,red,white,1
DEER,N,N,4,13,1,631,old,shoebox,informed,informed1,red,white,1
PLANK,Y,N,5,7,1,592,old,shoebox,informed,informed1,red,white,1
JAIL,Y,N,4,21,1,590,old,shoebox,informed,informed1,red,white,1
DRUG,Y,Y,4,24,1,555,old,shoebox,informed,informed1,red,white,1
SLEEVE,Y,Y,6,11,1,587,old,shoebox,informed,informed1,red,white,1
COTTON,N,Y,6,38,2,608,old,shoebox,informed,informed1,red,white,1
STEAM,N,Y,5,17,1,552,old,shoebox,informed,informed1,red,white,1
SOUP,Y,Y,4,16,1,615,old,shoebox,informed,informed1,red,white,1
CIDER,Y,Y,5,2,2,626,old,shoebox,informed,informed1,red,white,1
SPIDER,N,Y,6,2,2,607,old,shoebox,informed,informed1,red,white,1
YACHT,Y,N,5,4,1,606,old,shoebox,informed,informed1,red,white,1
WHEAT,N,Y,5,9,1,594,old,shoebox,informed,informed1,red,white,1
COLLAR,Y,Y,6,17,2,622,old,shoebox,informed,informed1,red,white,1
WOOL,N,Y,4,10,1,608,old,shoebox,informed,informed1,red,white,1
TENT,Y,N,4,20,1,608,old,shoebox,informed,informed1,red,white,1
SHOWER,Y,N,6,15,1,588,old,shoebox,informed,informed1,red,white,1
SQUIRREL,N,Y,8,1,2,612,old,shoebox,informed,informed1,red,white,1
DAWN,N,N,4,28,1,501,old,shoebox,informed,informed1,red,white,1
NOZZLE,Y,Y,6,4,2,555,old,shoebox,informed,informed1,red,white,1
BAGPIPE,Y,N,7,1,2,601,old,shoebox,informed,informed1,red,white,1
LEMON,N,Y,5,18,2,608,old,shoebox,informed,informed1,red,white,1
MOSQUITO,N,Y,8,1,3,595,old,shoebox,informed,informed1,red,white,1
STICK,N,Y,5,39,1,604,old,shoebox,informed,informed1,red,white,1
